,modType,Params,Hidden_Layers,GridSize,Error
0,MLP,4036,5,,135926658.95841637
1,KAN,10101,5,13.0,154474425.65717047
2,MLP,1331,5,,138925931.81550506
3,KAN,2169,5,3.0,132754734.30366705
4,MLP,2429,3,,127836998.75923803
5,KAN,1440,3,5.0,114017481.72881778
6,MLP,1978,5,,129270291.22534432
7,MLP,2139,3,,126536206.52021433
8,KAN,4950,3,11.0,118505480.89049308
9,MLP,2107,3,,150599852.5853458
10,MLP,2037,3,,125334862.16520278
11,KAN,1152,3,4.0,203999938.26273915
12,MLP,2381,5,,133416265.27342403
13,KAN,3792,5,8.0,125766243.63340916
14,MLP,2053,3,,174829765.2589522
15,MLP,1732,3,,136094155.14020717
16,KAN,3480,3,8.0,114733768.7699134
17,MLP,2710,4,,129077800.02998972
18,KAN,4848,4,8.0,136770944.3614999
19,MLP,1838,5,,126099630.32701616
20,KAN,4176,5,8.0,267837117.840204
21,MLP,757,3,,120830498.58712612
22,KAN,5022,3,9.0,155886382.11549306
23,MLP,1975,2,,172724623.11497304
24,KAN,5511,2,11.0,115962369.86454006
25,MLP,3800,5,,118414973.58014357
26,MLP,1519,3,,134094514.20373257
27,KAN,2700,3,6.0,117519425.60327195
28,MLP,1099,3,,118026372.62894194
29,KAN,3600,3,10.0,135401574.62707585
30,MLP,2093,3,,128287221.72368976
31,KAN,4464,3,8.0,116744949.5441897
32,MLP,3512,3,,141559734.66677347
33,KAN,4800,3,10.0,141961782.29377165
34,MLP,1629,3,,127709169.0485012
35,KAN,4224,3,11.0,117477600.41005099
36,MLP,1401,4,,118356244.41163827
37,KAN,4590,4,10.0,117504706.82854256
38,MLP,1085,3,,136066422.1754893
39,KAN,4464,3,8.0,116301282.1743334
40,MLP,909,3,,129103164.32927704
41,KAN,2880,3,6.0,118459016.93060078
42,MLP,2299,4,,119568455.11241168
43,KAN,8274,4,14.0,130720769.52858642
44,MLP,1287,4,,122182005.77477145
45,KAN,4050,4,10.0,113834963.89236468
46,MLP,2148,3,,123487056.31733523
47,MLP,1345,3,,122492904.13210015
48,KAN,1860,3,4.0,116175077.42480424
49,MLP,2706,4,,133728847.58541071
50,KAN,6864,4,13.0,119149215.52218114
51,MLP,2502,3,,125878286.39764677
52,KAN,3720,3,8.0,112098798.34477465
53,MLP,1209,3,,115215088.77046715
54,KAN,6912,3,12.0,116669101.88791469
55,MLP,2381,2,,141485073.55132565
56,KAN,4170,2,10.0,117698460.66424207
57,MLP,1331,3,,139396130.06163025
58,KAN,6750,3,15.0,116870813.12056112
59,MLP,2785,3,,120908959.59132394
60,KAN,8064,3,14.0,121018099.77025169
61,MLP,1031,3,,130604220.42140818
62,KAN,6975,3,15.0,121889606.9453974
63,MLP,1149,3,,130138236.30879642
64,KAN,5580,3,12.0,116438291.72209324
65,MLP,610,1,,151523369.2385705
66,KAN,972,1,6.0,117296964.35034211
67,MLP,3778,4,,126558009.97157136
68,KAN,4050,4,10.0,116288319.6118158
69,MLP,1783,3,,143103855.28939104
70,KAN,5208,3,8.0,123881463.27495198
71,MLP,3009,4,,135875072.2555882
72,KAN,5454,4,9.0,157161517.69174528
73,MLP,2859,4,,129243344.27479748
74,KAN,5610,4,10.0,132308809.28301726
75,MLP,1557,2,,130737261.70557861
76,KAN,1992,2,8.0,125592273.24351682
77,MLP,1431,3,,136939551.45373535
78,KAN,6138,3,11.0,132229563.18848276
79,MLP,2639,3,,140884318.8804274
80,KAN,5445,3,11.0,118602753.71609583
81,MLP,1251,3,,116804337.19125347
82,KAN,8370,3,15.0,121822123.02009653
83,MLP,1425,2,,115752389.98398238
84,KAN,1332,2,4.0,117061360.57469665
85,MLP,1502,3,,139848261.03535604
86,KAN,2232,3,6.0,117717034.94090702
87,MLP,2572,4,,159631657.5112515
88,KAN,6156,4,12.0,142307343.77638337
89,MLP,2305,2,,125821035.77229016
90,KAN,4662,2,14.0,115229438.45354415
91,MLP,969,2,,126471518.66062628
92,KAN,5004,2,12.0,117408556.09195478
93,MLP,1294,2,,150835923.81015772
94,KAN,3330,2,10.0,126312981.20252891
95,MLP,726,1,,118003263.01092403
96,KAN,810,1,5.0,117506647.4953249
97,MLP,1351,3,,115564723.76893587
98,KAN,2790,3,6.0,110399483.77789173
99,MLP,2072,4,,114923111.99680342
100,MLP,2788,3,,129730525.09397845
101,KAN,5940,3,11.0,116056461.97268236
102,MLP,407,1,,126856512.64151256
103,KAN,810,1,5.0,117503734.9407199
104,MLP,697,1,,114150585.80931102
105,KAN,1620,1,10.0,117458189.27756706
106,MLP,1529,2,,128984842.05546267
107,KAN,1668,2,4.0,117335665.66464688
108,MLP,1946,3,,125879391.1850787
109,KAN,6468,3,11.0,147080417.89383513
